id,number,gender,nation,academy,profession,class,skill_type,skill_level,award_name,award_date,note
9762,201721130239,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（CPAC）,CPAC1701,外语水平类,初级,全国大学英语四级考试,2019-02-26,暂无数据
9763,201721250028,女,汉族,中韩新媒体学院,电影学（影像）,影像1704,外语水平类,中级,全国大学英语六级考试,2019-08-21,暂无数据
9764,1608030410,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1604,外语水平类,高级,雅思英语水平考试(IELTS),2019-08-31,暂无数据
9765,201721120058,女,汉族,新闻与文化传播学院,汉语言文学,中文1701,外语水平类,初级,全国大学英语四级考试,2018-12-01,暂无数据
9766,201721040702,女,汉族,法学院,法学,法1708,职业证书类,中级,普通话水平测试等级,2019-09-07,暂无数据
9767,201721060230,男,汉族,工商管理学院,市场营销,市营1702,外语水平类,初级,全国大学英语四级考试,2019-04-01,暂无数据
9768,1604000502,女,土家族,法学院,法学,法1605,外语水平类,中级,全国大学英语六级考试,2018-12-22,暂无数据
9769,201721030341,女,汉族,金融学院,金融学,金融1702,外语水平类,初级,全国大学英语四级考试,2018-12-15,暂无数据
9770,201721020035,女,汉族,经济学院,经济学,经济1704,外语水平类,中级,全国大学英语六级考试,2019-09-09,暂无数据
9771,1603150135,男,汉族,金融学院,保险学（精算）,保精1601,职业证书类,初级,证券从业人员资格考试,2018-10-28,暂无数据
9772,1610070133,男,汉族,公共管理学院（公共管理硕士专业学位教育中心）,劳动关系,劳动1601,计算机水平类,中级,全国计算机等级考试(1-4),2019-03-31,暂无数据
9773,201721080197,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（ACCA）,ACCA1701,计算机水平类,中级,全国计算机等级考试(1-4),2019-05-15,暂无数据
9774,201721080116,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1702,计算机水平类,中级,全国计算机等级考试(1-4),2019-12-05,暂无数据
9775,201721030367,女,汉族,金融学院,金融学,金融1702,外语水平类,初级,全国大学英语四级考试,2019-02-26,暂无数据
9776,1608020125,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（基地班）,会基1601,计算机水平类,中级,全国计算机等级考试(1-4),2018-10-12,暂无数据
9777,1603080125,男,汉族,金融学院,投资学,投资1601,外语水平类,中级,托福英语水平考试(TOEFL),2018-10-20,暂无数据
